factory,factory_count
org.knime.base.node.preproc.groupby.GroupByNodeFactory,214
org.knime.base.node.preproc.joiner3.Joiner3NodeFactory,152
org.knime.ext.jep.JEPNodeFactory,127
org.knime.base.node.rules.engine.RuleEngineFilterNodeFactory,102
org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory,100
org.knime.js.base.node.quickform.filter.value.ValueFilterQuickFormNodeFactory,94
org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory,87
org.knime.base.node.io.filehandling.csv.writer.CSVWriter2NodeFactory,86
org.knime.base.node.rules.engine.RuleEngineNodeFactory,80
org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory,80
org.knime.base.node.preproc.column.renamer.ColumnRenamerNodeFactory,71
org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory,63
org.knime.base.node.preproc.filter.row.RowFilterNodeFactory,47
org.knime.base.node.preproc.filter.row3.RowFilterNodeFactory,44
org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory,41
org.knime.database.extension.postgres.node.connector.PostgreSQLDBConnectorNodeFactory,41
org.knime.database.node.io.reader.query.DBQueryReaderNodeFactory,40
org.knime.base.node.preproc.rename.RenameNodeFactory,40
org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory,35
org.knime.base.node.preproc.pmml.missingval.compute.MissingValueHandlerNodeFactory,35
org.knime.base.node.preproc.pivot.Pivot2NodeFactory,32
org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory2,30
org.knime.base.node.preproc.stringmanipulation.StringManipulationNodeFactory,28
org.knime.base.node.mine.scorer.accuracy.AccuracyScorer2NodeFactory,28
org.knime.base.node.preproc.unpivot2.Unpivot2NodeFactory,26
org.knime.base.node.meta.xvalidation.AggregateOutputNodeFactory,24
org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory,24
org.knime.base.node.meta.xvalidation.XValidatePartitionerFactory,24
org.knime.base.node.preproc.colconvert.stringtonumber2.StringToNumber2NodeFactory,22
org.knime.ext.poi3.node.io.filehandling.excel.reader.ExcelTableReaderNodeFactory,20
org.knime.ext.poi3.node.io.filehandling.excel.writer.ExcelTableWriterNodeFactory,19
org.knime.base.node.preproc.sorter.SorterNodeFactory,18
org.knime.base.node.preproc.duplicates.DuplicateRowFilterNodeFactory,13
org.knime.expressions.base.node.formulas.FormulasNodeFactory,12
org.knime.time.node.calculate.datetimedifference.DateTimeDifferenceNodeFactory,11
org.knime.time.node.manipulate.datetimeshift.DateTimeShiftNodeFactory,9
org.knime.time.node.convert.stringtodatetime.StringToDateTimeNodeFactory2,9
org.knime.time.node.filter.datetimebasedrowfilter.DateTimeBasedRowFilterNodeFactory,8
org.knime.base.node.io.tablecreator.TableCreator2NodeFactory,8
org.knime.database.node.connector.generic.DBConnectorNodeFactory,8
org.knime.time.node.convert.stringtodatetime.StringToDateTimeNodeFactory,8
org.knime.base.node.preproc.cellsplit2.CellSplitter2NodeFactory,7
org.knime.python3.scripting.nodes2.script.PythonScriptNodeFactory,7
org.knime.database.node.io.reader.DBReadNodeFactory,7
org.knime.base.node.viz.property.color.ColorManager2NodeFactory,7
org.knime.base.views.node.scatterplot.ScatterPlotNodeFactory,7
org.knime.base.node.preproc.columnappend2.ColumnAppender2NodeFactory,6
org.knime.database.node.utility.tableselector.DBTableSelectNodeFactory,6
org.knime.base.node.mine.treeensemble2.node.randomforest.learner.classification.RandomForestClassificationLearnerNodeFactory2,6
org.knime.base.node.mine.treeensemble2.node.randomforest.predictor.classification.RandomForestClassificationPredictorNodeFactory2,6
